timestamp,dataset,pe,normalize,L,H,stride,max_series,epochs,seed,val_mae_raw,val_mae_z,avg_epoch_s,device,params_m,ckpt
2025-11-18T04:56:04.011827,electricity,none,zscore,168,24,120,32,3,42,50.343529,0.420992,2.205,cuda,3.166,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T05:03:35.047493,electricity,absolute,zscore,168,24,120,32,3,42,41.099918,0.34049,4.371,cuda,3.166,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T05:11:12.157673,electricity,rope,zscore,168,24,120,32,3,42,39.68766,0.329383,3.767,cuda,3.166,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T05:18:39.986682,electricity,xpos,zscore,168,24,120,32,3,42,39.734051,0.329782,3.912,cuda,3.166,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T05:25:54.597155,electricity,alibi,zscore,168,24,120,32,3,42,50.343529,0.420992,3.067,cuda,3.166,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T05:33:09.059581,electricity,none,zscore,168,168,120,32,3,42,57.468063,0.47946,2.84,cuda,3.203,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T05:41:42.850097,electricity,absolute,zscore,168,168,120,32,3,42,51.370819,0.425857,2.867,cuda,3.203,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T05:50:18.998832,electricity,rope,zscore,168,168,120,32,3,42,49.006409,0.403926,3.619,cuda,3.203,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T05:58:56.110893,electricity,xpos,zscore,168,168,120,32,3,42,48.987698,0.403738,3.908,cuda,3.203,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T06:07:29.403867,electricity,alibi,zscore,168,168,120,32,3,42,57.468063,0.47946,2.975,cuda,3.203,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T06:16:03.618320,electricity,none,zscore,168,336,120,32,3,42,60.392029,0.505012,2.829,cuda,3.246,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T06:26:07.225398,electricity,absolute,zscore,168,336,120,32,3,42,53.275539,0.442652,2.789,cuda,3.246,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T06:36:11.575812,electricity,rope,zscore,168,336,120,32,3,42,49.812824,0.411355,3.296,cuda,3.246,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T06:46:16.266200,electricity,xpos,zscore,168,336,120,32,3,42,49.77356,0.411018,4.012,cuda,3.246,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T06:56:18.496836,electricity,alibi,zscore,168,336,120,32,3,42,60.392029,0.505012,2.947,cuda,3.246,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T07:06:29.264858,electricity,none,zscore,336,24,120,32,3,42,50.743725,0.424066,5.328,cuda,3.166,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T07:23:15.571741,electricity,absolute,zscore,336,24,120,32,3,42,40.600674,0.335803,5.334,cuda,3.166,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T07:40:05.271732,electricity,rope,zscore,336,24,120,32,3,42,38.940098,0.321431,5.995,cuda,3.166,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T07:56:54.794162,electricity,xpos,zscore,336,24,120,32,3,42,39.063042,0.322445,6.095,cuda,3.166,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T08:13:44.380550,electricity,alibi,zscore,336,24,120,32,3,42,50.743725,0.424066,5.939,cuda,3.166,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T08:30:31.177355,electricity,none,zscore,336,168,120,32,3,42,60.325256,0.504927,5.297,cuda,3.203,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T08:48:32.045179,electricity,absolute,zscore,336,168,120,32,3,42,53.240543,0.444613,5.29,cuda,3.203,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T09:06:34.323597,electricity,rope,zscore,336,168,120,32,3,42,48.492329,0.400407,6.021,cuda,3.203,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T09:24:38.850368,electricity,xpos,zscore,336,168,120,32,3,42,48.526955,0.400656,6.111,cuda,3.203,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T09:42:41.604227,electricity,alibi,zscore,336,168,120,32,3,42,60.325256,0.504927,5.939,cuda,3.203,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T10:00:43.454603,electricity,none,zscore,336,336,120,32,3,42,62.071491,0.516648,5.224,cuda,3.246,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T10:20:10.975972,electricity,absolute,zscore,336,336,120,32,3,42,54.64764,0.454069,5.229,cuda,3.246,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T10:39:39.853957,electricity,rope,zscore,336,336,120,32,3,42,50.752388,0.419569,5.931,cuda,3.246,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T10:59:11.642667,electricity,xpos,zscore,336,336,120,32,3,42,50.687572,0.418826,6.054,cuda,3.246,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T11:18:40.728033,electricity,alibi,zscore,336,336,120,32,3,42,62.071491,0.516648,5.904,cuda,3.246,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T11:37:59.774518,electricity,none,zscore,168,24,120,32,3,43,48.583286,0.402014,2.887,cuda,3.166,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T11:45:12.961532,electricity,absolute,zscore,168,24,120,32,3,43,39.775913,0.32798,2.824,cuda,3.166,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T11:52:30.452834,electricity,rope,zscore,168,24,120,32,3,43,38.660458,0.319289,3.696,cuda,3.166,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T11:59:47.261831,electricity,xpos,zscore,168,24,120,32,3,43,38.659912,0.319303,3.919,cuda,3.166,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T12:07:01.850770,electricity,alibi,zscore,168,24,120,32,3,43,48.583286,0.402014,3.097,cuda,3.166,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T12:14:15.445826,electricity,none,zscore,168,168,120,32,3,43,56.73941,0.473822,2.772,cuda,3.203,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T12:22:48.138675,electricity,absolute,zscore,168,168,120,32,3,43,51.825047,0.430423,2.853,cuda,3.203,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T12:31:22.279728,electricity,rope,zscore,168,168,120,32,3,43,47.669727,0.394571,3.586,cuda,3.203,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T12:39:57.953234,electricity,xpos,zscore,168,168,120,32,3,43,47.683033,0.394681,3.858,cuda,3.203,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T12:48:32.209026,electricity,alibi,zscore,168,168,120,32,3,43,56.73941,0.473822,3.069,cuda,3.203,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T12:57:05.856880,electricity,none,zscore,168,336,120,32,3,43,59.785969,0.499225,2.723,cuda,3.246,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T13:07:10.145597,electricity,absolute,zscore,168,336,120,32,3,43,52.260735,0.432984,2.793,cuda,3.246,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T13:17:16.169146,electricity,rope,zscore,168,336,120,32,3,43,50.061298,0.411416,3.67,cuda,3.246,checkpoints/ts_transformer_electricity_rope.pt
